GNF-Pf identifier,JC_XSMILES,Qualifier,PF proliferation inhibition 3D7 EC50 uM
GNF-Pf-270,NC(=N)NN=CC1=CC=CC(OCC2=CC=C(Cl)C(Cl)=C2)=C1,,1.986
GNF-Pf-2727,ClCC(=O)NC1=CC=C(CN2CCCCC2)C=C1,,0.976
GNF-Pf-2760,CN(C)CCCNC1=CC(C)=NC2=CC=CC=C12,,0.716
GNF-Pf-2783,COC1=CC=C2N=C3C=C(Cl)C=CC3=C(NCCN(CCN)CCN)C2=C1,,0.808
GNF-Pf-2821,COC1=CC=C(NC2=NC(NC3=CC=C(OC)C=C3)=C4C=CC=CC4=N2)C=C1,,0.0573
GNF-Pf-2864,OC(CN1C(=N)N(CCN2CCCC2)C3=CC=CC=C13)C4=CC=C(Cl)C(Cl)=C4,,0.083
GNF-Pf-2867,CC[C@@]1(O)C[C@H](O[C@@H]2CC([C@@H](O[C@@H]3C[C@@H](O)[C@@H](O[C@@H]4CCC(=O)[C@@H](C)O4)C(C)O3)[C@@H](C)O2)N(C)C)C5=C(O)C6=C(C=C5[C@H]1C(=O)OC)C(=O)C7=C(O)C=CC(O)=C7C6=O,,0.0877
GNF-Pf-2883,COC(=O)C1=CC=C(NC2=NC(NCC3=CC=CO3)=C4C=CC=CC4=N2)C=C1,,0.279
GNF-Pf-2946,CC1=CC=C(NC(=O)C2=CC=C(NCCCN3CCCCCC3)C(=C2)[N+]([O-])=O)C=C1F,,0.0941
GNF-Pf-2976,CC(CC1=CC=CC=C1SC2=CC=CC=C2O)N(C)C,,2.039
GNF-Pf-3033,CCN(CC)CCCC(C)NC1=NC(C=CC2=CC=CC=C2OC)=NC3=CC(Cl)=CC=C13,,0.03077
GNF-Pf-3081,CCCCN1C(=N)N(CC(O)C2=CC=C(Cl)C(Cl)=C2)C3=CC=CC=C13,,0.0625
GNF-Pf-3165,CC1(C)N=C(N)N=C(N)N1C2=CC=C(OC3=CC=C(Cl)C=C3)C(Cl)=C2,,0.058
GNF-Pf-3176,COC1=CC2=NC(NC3=CC=CC(F)=C3)=NC(N)=C2C=C1OC,,0.1478
GNF-Pf-3179,CC1=CC=CC(=C1)N2C(N)=NC(N)=NC2(C)C,,0.02024
GNF-Pf-3199,OC(CN1C(=N)N(CCN2CCCCC2)C3=CC=CC=C13)C4=CC=C(Cl)C(Cl)=C4,,0.0528
GNF-Pf-3206,CC12CN(CC3=CC=CC=C3)CC(C)(CN(CC4=CC=CC(Br)=C4)C1)C2,,3.62
GNF-Pf-3253,CC(C)N(C(C)C)C(=O)CN1C=CC(=N)C2=CC=CC=C12,,1.243
GNF-Pf-330,CCCCCCCCCCCCOCCCNC(=O)C1=CC=CC(N)=C1,,1.569
