GNF-Pf identifier,JC_XSMILES,Qualifier,PF proliferation inhibition 3D7 EC50 uM
GNF-Pf-1836,C1CCC(C1)NC2=NC(NC3=CC=C4OCOC4=C3)=NC5=CC=CC=C25,,0.525
GNF-Pf-1837,CC1=CC(C)=CC(=C1)N2C(C)=CC(\C=C3\SC(NC3=O)=NC4=CC=C(Br)C=C4)=C2C,,0.325
GNF-Pf-1838,CCCCCN(C(CC)C1=NC2=CC=CC=C2C(=O)N1C3=CC=C(Cl)C=C3C)C(=O)C4=CC=C5C=CC=CC5=C4,,0.961
GNF-Pf-1839,COC1=CC=C(C=C1)\C=C/C2=NC(=O)C3=CC=CC=C3O2,,0.697
GNF-Pf-184,COC1=CC=C(NC(=O)C2=C(C)C(=C(Cl)N=C2Cl)[N+]([O-])=O)C=C1,,1.25
GNF-Pf-1841,C[C@H]1[C@H](O)CCC2=CC(=O)[C@@]3(O[C@@H]3[C@]12C)C(C)=C,,0.787
GNF-Pf-1842,COC1=CC=C(C=C1)N2N=C(C=C2NC(=O)CN(C(C)C)C(=O)C3=CC=C(C)C(=C3)[N+]([O-])=O)C(C)(C)C,,1.548
GNF-Pf-1843,CCC1=CC=C(NC(=O)C2=CC=C(F)C(=C2)S(=O)(=O)N3CCN(C)CC3)C=C1,,1.25
GNF-Pf-1844,NS(=O)(=O)C1=CC=C(CCNC(=O)\C=C\C2=CC=C3OCOC3=C2)C=C1,,1.398
GNF-Pf-1845,COC1=CC=C(C=C1)N(CC(=O)NC2=CC(OC)=CC=C2OC)S(=O)(=O)C3=CC=C(C)C=C3,,1.25
GNF-Pf-1846,CC1=CC(NS(=O)(=O)C2=CC=C(C=C2)N=CC3=CC=C(C=C3)C#N)=NO1,,1.637
GNF-Pf-1847,CCN1CCN(CC1)CCN2C(C(=O)NC3CCCCC3)C45OC(C=C4)C(C5C2=O)C(=O)NC6=CC=C(C=C6)C(C)C,,12.5
GNF-Pf-1848,NC(=S)NN=C1C2=CC=CC=C2C3=NC4=NON=C4N=C13,,1.129
GNF-Pf-1849,O=C(NCCC1=NC(=NN1)C2=CC=CN=C2)C34CC5CC(CC(C5)C3)C4,,1.25
GNF-Pf-185,CC(=O)NC1=CC=C(C=C1)C(C)=NNC2=NC(NC3=CC(C)=CC=C3C)=NC(=N2)N4CCOCC4,,1.25
GNF-Pf-1850,NC1=CC(=NN1)C2=CC=CS2,,11.18
GNF-Pf-1851,CCCCCCC(NC(=O)OCC1=CC=CC=C1)S(=O)(=O)C2=CC=C(C)C=C2,,12.5
GNF-Pf-1853,CCN(CC)C1=CC=C(\C=C\C2=CC=[N+](CC3=CC=C(F)C=C3)C=C2)C=C1,,0.417
GNF-Pf-1854,C(COC1=CC=CC=C1C2=CC=CC=C2)NCCN3CCOCC3,,10.09
GNF-Pf-1856,CCN(CC)C1=CC=C(O1)C=C(C#N)C2=NC3=CC=CC=C3N2,,3.35
GNF-Pf-1857,OC(CN1CCN(CC1)CC(O)CN2C3=CC=CC=C3C4=CC(Br)=CC=C24)CN5C6=CC=CC=C6C7=CC=CC=C57,,1.259
GNF-Pf-1858,CCCC1(CCC)NN(C(=S)N1)C2=CC=C(C)C(C)=C2,,1.25
GNF-Pf-1859,CCCCCCCCN[C@H](C)[C@@H](O)C1=CC=C(SC(C)C)C=C1,,0.0824
GNF-Pf-186,COC1=CC=C(C)C=C1NC2=NC(N)=C3C=C(OC)C(OC)=CC3=N2,,0.973
GNF-Pf-1860,COC1=CC=C(OCC(O)CNC2CCN(CC2)CC(O)COC3=CC=C(Cl)C(Cl)=C3)C=C1,,0.328
GNF-Pf-1861,CCC1=NN2C(=N)\C(=C\C3=CN(CCOC4=CC=CC(C)=C4)C5=CC=CC=C35)C(=O)N=C2S1,,1.25
GNF-Pf-1862,CC1=CC=C(O)C(NC(=O)C2=C3N=C(C=C(N3N=C2)C(F)(F)F)C4=CC=C(F)C=C4)=C1,,10.48
GNF-Pf-1863,O[C@@H](C1CC2CCN1CC2C=C)C3=CC=NC4=CC=C(O)C=C34,,0.404
GNF-Pf-1865,CCC1CCCCN1S(=O)(=O)C2=CC(Br)=CC3=C2N(CC3)C(=O)CC,,9.98
GNF-Pf-1866,[O-][N+](=O)C1=CC=CC(=C1)C2=CC=C(O2)\C=C\C(=O)NC3=NC=CS3,,1.25
GNF-Pf-1867,CN(C1CCCCC1)S(=O)(=O)C2=CC3=C(NC(=O)CO3)C=C2C,,1.25
GNF-Pf-1868,OCCN(CCO)CC(O)CN1C2=CC=C(Br)C=C2C3=CC(Br)=CC=C13,,2.331
GNF-Pf-1869,CCN1C(\C=CC2=CC(C)=CC=C12)=C\C3=[N+](CC)C4=CC=C(NC(C)=O)C=C4S3,,1.569
GNF-Pf-1870,CC1=CC=C(C=C1)C2(C)CC(C)(C)N(C(=O)CC3=CC=CC=C3)C4=CC=C(C=C24)C(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,,4.79
GNF-Pf-1871,CCCCN1C(=N)C(=CC2=C1N=C3N(C=CC=C3C)C2=O)C(=O)NC(C)C4=CC=CC=C4,,1.384
GNF-Pf-1872,O=C(NC1CCCCC1)C2=NOC3=C2CCCCC3,,12.5
GNF-Pf-1873,[O-][N+](=O)C1=CC=C2N(CC(=O)NC3=CC=C(F)C(Cl)=C3)C4=CC=CC=C4C(=O)C2=C1,,12.5
GNF-Pf-1874,C(COC1=CC=C(NC2=C3C=CC=CC3=NC4=CC=CC=C24)C=C1)OC5=CC=CC=C5,,0.505
GNF-Pf-1875,CCCN(C(CC)C1=NC2=CC=CC=C2C(=O)N1C3=CC=CC(C)=C3)C(=O)NC4=C(C=CC=C4C(C)C)C(C)C,,3.17
GNF-Pf-1876,CCCN(CC1CC1)CC2=CC3=C(OCO3)C(OC)=C2,,1.722
GNF-Pf-1877,[O-][N+](=O)C1=CC=C(C=C1)C(=O)NCCCCNC2=CC=NC3=CC(Cl)=CC=C23,,0.486
GNF-Pf-1878,CCN1CCCC1CNC2=NC=NC3=C2NC4=CC=C(F)C=C34,,0.808
GNF-Pf-1879,CCCCC1=CC=C(C=C1)C(=O)N(CCC2=CC=CC=C2)C(CC)C3=NC4=CC=CC=C4C(=O)N3C5=CC=CC=C5OC,,0.3111
GNF-Pf-188,[O-][N+](=O)C1=CC=C(O1)C=CC=C2SC(=N)NC2=O,,0.707
GNF-Pf-1880,CCCCCC1=CC=C(C=C1)C(=O)N(CCCC(C)NC2=CC(OC)=CC3=CC=CN=C23)CC4=CC=C(OC)C(OC)=C4,,0.514
GNF-Pf-1881,ClC1=CC=C(C=C1)C(=O)O[C@@H]([C@@H]2C[C@@H]3CCN2C[C@@H]3C=C)C4=CC=NC5=CC=CC=C45,,0.412
GNF-Pf-1882,OC1=CC=C(NC2=NC(NCC3=CC=CO3)=C4C=CC=CC4=N2)C=C1,,0.0861
GNF-Pf-1883,CCOC1=CC(=C(OCC)C=C1N2C=NN=N2)S(=O)(=O)N3CCCC4(CCCCC4)C3,,1.25
GNF-Pf-1884,CCN1CCC(CC1)N2C[C@@H](C[C@H]2C(=O)NCC3=CC=CC(=C3)C(F)(F)F)N4C=C(N=N4)C(=O)OC,,1.25
GNF-Pf-1885,CCOC(=O)C1=NNC2C1C(=O)N(C2=O)C3=CC=CC(C)=C3C,,1.25
GNF-Pf-1886,CCCC(=O)N1CCN(CC1C)C(=O)C2=NC(=NC(C(C)C)=C2C(=O)OC)C3=CC=CC=C3,,0.88
GNF-Pf-1887,CC(C)(C)NC(=O)C(N(CCCN1CCOCC1)C(=O)C2=CC=C(N2)C3=CC=CC=C3)C4=CC=C(F)C=C4,,1.013
GNF-Pf-1888,COC1=CC=C(C=C1)N(CC(=O)NCCC2=CC=C(F)C=C2)S(=O)(=O)C3=CC=CC=C3,,12.5
GNF-Pf-1889,CCC(=O)NCC1=NN=C(SCC2=CC=CC(=C2)C(F)(F)F)N1C3=CC=CC(OC)=C3,,12.5
GNF-Pf-189,CC(C)NC(=O)N1CCN(CC1)C(=O)COC(C2=CC=CS2)C3=CC=CN=C3Cl,,1.25
GNF-Pf-1890,CC1=C(C(N2N=CN=C2N1)C3=CC=C(O)C=C3)C(=O)NC4=CC=CC=N4,,1.25
GNF-Pf-1891,CC1=C(C)C2=C(S1)N=C(C3CC3)N(C4CCN(CC4)C(=O)C5CCC=CC5)C2=O,,1.25
GNF-Pf-1892,CCOC1=CC=C2N(C)C(SC2=C1)=NC(=O)NC3=CC=C(OC)C=C3,,8.3
GNF-Pf-1893,CCN(CC)CCCNC(=S)N(CC1=CC=CC=C1)CC2=CC3=CC(C)=C(Cl)C=C3NC2=O,,1.935
GNF-Pf-1895,CC1=C[N+](CC=C)=CC=C1\C=C\C2=CC=CC=C2,,0.656
GNF-Pf-1896,COC1=CC(=CC=C1OCC2=CC=C(Cl)C=C2)\C=C(/C#N)C3=NC4=CC=CC=C4N3,,0.321
GNF-Pf-1897,CN(C)CCNC(=O)COC1=CC=C(C=C1CN(C)C)C2=NC3=CC=CC=C3S2,,0.622
GNF-Pf-1898,CC1=CC(\C=C2\SC(NC2=O)=NC3=CC=CC=C3)=C(C)N1C4=CC=CC(=C4)[N+]([O-])=O,,0.395
GNF-Pf-1899,CC(C)N1CC[C@H]([C@@H](CCC(=O)N(C)C2CCN(C)CC2)C1)N3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F,,1.04
GNF-Pf-19,CN(\C=C\C1=[N+](C)C2=CC=C(Cl)C=C2C1(C)C)C3=CC=CC=C3,,1.356
GNF-Pf-190,CC1=C(C)C2=C(S1)N=C(C3CC3)N(C4CCN(CC4)C(=O)C5=CC=CC=N5)C2=O,,1.25
GNF-Pf-1900,CCC1=C(C=NN1C2=NC(=CS2)C3=CC=C(Br)C=C3)C(=O)N4CCN(C(C)C4)C(=O)CCl,,0.656
GNF-Pf-1902,CCOC(=O)C1=C(N)N(C2=CC=CC(=C2)[N+]([O-])=O)C3=C(C1C4=CC=C(Cl)C=C4)C(=O)CC(C)(C)C3,,6.14
GNF-Pf-1903,COC1=CC(NC(C)CCCN(CC2=CC=CC=C2OC)C(=O)C(Cl)Cl)=C3N=CC=CC3=C1,,1.497
GNF-Pf-1904,OCC[N+]1=CC=C(\C=C\C2=CNC3=CC=CC=C23)C=C1,,0.39
GNF-Pf-1905,CO[C@H]1C=CO[C@@]2(C)OC3=C([C@H]2O)C4=C(OC)C(N5CCN(CC5)CC6=C(C)C=C(C)C=C6C)=C7N=C(OC7=C4C(OC(=O)C(C)(C)C)=C3C)C(C)=CC=CC(C)[C@H](O)[C@@H](C)[C@@H](O)C(C)[C@H](OC(C)=O)[C@@H]1C,,0.2212
GNF-Pf-1906,O=C(NC1=CC=C2CCN(CC2=C1)C3CCSCC3)C4(CC4)C5=CC=CC=C5,,12.5
GNF-Pf-1907,COC1=CC=C(C=C1)C(=O)N(C)CCCNC2=CC=NC3=CC(Cl)=CC=C23,,0.797
GNF-Pf-1908,CCN1C(\C=CC2=CC(OC)=CC=C12)=C\C3=[N+](CC)C4=CC(OC)=CC=C4S3,,0.527
GNF-Pf-1909,CCCCCCN(C(CC)C1=NC2=CC=CC=C2C(=O)N1C3=CC=CC=C3OC)C(=O)C4=CC=CC(=C4)[N+]([O-])=O,,0.983
GNF-Pf-191,CC[C@@H]1CCCNC(=O)[C@H](CC)CCC[C@H](C)CC[C@H]1O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](N)[C@H]2O,,1.585
GNF-Pf-1910,CCOC1=CC=CC=C1N2C(=O)C3=C(NN=C3)N=C2SCC(=O)C4=CC=C(Cl)C=C4,,12.5
GNF-Pf-1911,O=C(C1CCCCN1)N2CC(C3=CC=CC=C3)C4=CC=CC=C4C2CN5CCCCC5,,0.439
GNF-Pf-1912,CN1C(=O)NC(=O)C2=C1N=C(NC3CCCCC3)N2CC(O)COC4=CC=CC=C4C,,1.701
GNF-Pf-1913,[O-][N+](=O)C1=CC=C(C(Cl)=C1)C(=O)NN=CC2CCC=CC2,,1.25
GNF-Pf-1914,CCCCCCN(C(CC)C1=NC2=CC=CC=C2C(=O)N1C3=CC=C(F)C=C3)C(=O)C4=CC=C5C=CC=CC5=C4,,0.454
GNF-Pf-1915,NNC(=O)C1CCCN1S(=O)(=O)C2=CC=C(Cl)C=C2,,0.564
GNF-Pf-1916,CCC(N(CCC1=CC=CC=C1)C(=O)C2=CC=CC(=C2)C(F)(F)F)C3=NC4=CC=CC=C4C(=O)N3C5=CC=C(Br)C=C5,,0.871
GNF-Pf-1917,CCN1C(\SC2=CC=C(C)C=C12)=C\C3=CC=CC=[N+]3C,,0.487
GNF-Pf-1918,CC1=CC=C(CNC(=N)NC2=NC(C)=CC(C)=N2)C=C1,,0.653
GNF-Pf-1920,CC(C)CCNC1=NC=C(C(=O)NCC(C)C)C(NCCC2=CC=CC=C2)=N1,,0.724
GNF-Pf-1921,COC(=O)CS(=O)C1=CC=CC=C1,,0.647
GNF-Pf-1922,CC1=C[N+](CC2=CC=CC=C2)=CC=C1\C=C\C3=CC=CC=C3,,0.502
GNF-Pf-1923,COC1=CC=C(\C=C2/SC(NC2=O)=NC3=CC=C(F)C=C3)C(OC)=C1,,0.2705
GNF-Pf-1924,O=C1NC(=O)C(CC2=CC=C(C=C2)S(=O)(=O)N3CCN(CC3)C4=CC=CC=C4)S1,,0.79
GNF-Pf-1925,CC1=CC(\C=C2/SC(=NC3=CC=CC=C3)N(C4CCCCC4)C2=O)=C(C)N1C5=CC=C(Br)C=C5,,0.476
GNF-Pf-1926,CCC1=CC=CC=C1NC(C)=O,,12.5
GNF-Pf-1927,COC1=CC=C(C[N+]2=C3C=CC=CN3C=C2C4=CC=C(Cl)C=C4)C=C1,,0.693
GNF-Pf-1928,CCN(CC)C1=[S+]C(=CS1)C2=CC=C(Br)C=C2,,0.349
GNF-Pf-1929,COC1=CC(CNNC2=NC3=CC(Cl)=CC=C3N2)=CC(OC)=C1OC,,0.3075
GNF-Pf-193,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(C)=C\C3=CSC(C)=N3,,0.00409
GNF-Pf-1930,CCOCCCNC(=O)C1=CC(NC(=O)C2=CC=C(Cl)C(=C2)[N+]([O-])=O)=CC=C1N3CCCCC3,,1.25
GNF-Pf-1931,CCC1=CC2=C(SC3=NN=C(N)S3)N=CN=C2S1,,0.546
GNF-Pf-1932,SC1=NC2=C(N1)C3=NSN=C3C=C2,,0.713
GNF-Pf-1934,ClC1=CC=C2C(NCCCCNC(=O)C(C3=CC=CC=C3)C4=CC=CC=C4)=CC=NC2=C1,,0.73
GNF-Pf-1936,CN(CC(=O)NC1=CC=C(C=C1)C(C)=O)S(=O)(=O)C2=CC=C3NC4=C(CCCC4)C3=C2,,12.5
GNF-Pf-1937,CCC(CC)=NNC(=O)C(=O)NC1CCCCC1,,0.2308
GNF-Pf-1938,COC1=CC=CC(OCCN2CCN(CC2)C3=NC=NC4=C3C=NN4C5=CC=CC=C5)=C1,,6.25
GNF-Pf-1939,COC1=CC=C(C=C1)N2N=C(C=C2NC(=O)CN(C(C)C)C(=O)C3=CC=C(C=C3)C(C)(C)C)C(C)(C)C,,1.675
GNF-Pf-194,CN(C)C1=CC(C)=[N+](OC(=O)N(C2=CC=CC=C2)C3=CC=CC=C3)C(C)=C1,,1.49
GNF-Pf-1940,O=C(C1CCN(CC1)S(=O)(=O)C2=CC=CC3=NON=C23)N4CCCC5=CC=CC=C45,,1.25
GNF-Pf-1941,CCOC1=CC=C2N=C3C=CC(=CC3=C(NC)C2=C1)[N+]([O-])=O,,0.2219
GNF-Pf-1943,CCN(CC)CCCNC(=S)N(CC1=CC=C(F)C=C1)CC2=CC3=CC(C)=CC(C)=C3NC2=O,,2.76
GNF-Pf-1944,ClC1=CC=C(CN2C3=C(CCCC3)C(=N)C4=C2CCC4)C=C1,,0.2223
GNF-Pf-1946,COC1=CC=CC(NC(=O)C2C3OC4(C=C3)C2C(=O)N(CC5=CC=C6OCOC6=C5)C4C(=O)NC7CCCCC7C)=C1,,12.5
GNF-Pf-1948,CC1=CC=C(Cl)C=C1N2C(=O)[C@@H]3[C@@H](C4N(C=CC5=CC=CC=C45)[C@@H]3C(=O)C6=CC=CS6)C2=O,,1.064
GNF-Pf-1949,COC(=O)C1=C(ON=C1C2=C(F)C=CC=C2Cl)C=CNC3=CC=C(OC)C=C3,,10.24
GNF-Pf-195,O=C(NCCC1=CC=CC=C1)C2=CN=C(NCCCN3C=CN=C3)N=C2NC4CCCC4,,0.678
GNF-Pf-1950,CC1=C(C(=O)NC2CCS(=O)(=O)C2)C3=C(O1)C(=O)C4=CC=CC=C4C3=O,,0.437
GNF-Pf-1951,COC1=CC(NC(C)CCCN(CC2=CC=CC=C2OC)C(=O)C(C)C)=C3N=CC=CC3=C1,,0.684
GNF-Pf-1952,CC(CCCNCCO)NC1=CC=NC2=CC(Cl)=CC=C12,,0.02693
GNF-Pf-1953,COCCN(CC(=O)NCC1=CC=C(OC2CCN(CC2)CC(C3=CC=CC=C3)C4=CC=CC=C4)C=C1)S(=O)(=O)C5=CC=CC=C5,,1
GNF-Pf-1954,CN1C(\C=CC2=CC=CC=C12)=C\C3=CC=CC=[N+]3C,,0.446
GNF-Pf-1955,CC[N+]1=CC=C(C=CC2=CC=C(C=C2)N(C)C)C=C1,,0.409
GNF-Pf-1956,C(CCCN1C=C(SC1=NC2=CC=CC=C2)C3=CC=CC=C3)CCN4C=C(SC4=NC5=CC=CC=C5)C6=CC=CC=C6,,0.739
GNF-Pf-1957,OC1=CC=CC=C1NC2=NC(NC3CCCC3)=C4C=CC=CC4=N2,,0.53
GNF-Pf-1958,CSC1SCC2N(C)C(=O)C(C)NC(=O)C(COC(=O)C(C(C)C)N(C)C(=O)C1N(C)C(=O)C(C)NC(=O)C(COC(=O)C(C(C)C)N(C)C2=O)NC(=O)C3=CN=C4C=CC=CC4=N3)NC(=O)C5=CN=C6C=CC=CC6=N5,,0.0737
GNF-Pf-1959,COC1=CC=CC(=C1)N2CCN(CCNCCOC3=CC=CC=C3)[C@H](C2)CC4=CC=CC=C4,,0.703
GNF-Pf-196,CC[C@H]1CN2CCC3=CC(OC)=C(OC)C=C3[C@@H]2C[C@@H]1C[C@H]4NCCC5=CC(OC)=C(OC)C=C45,,0.01015
GNF-Pf-1960,ClC1=CC=CC(CCNC2CCN(CC2)CCC3=CC=CC=C3)=C1,,0.1699
GNF-Pf-1961,OC1=NC=NC2=C1C(C3=CC=CC=C3)C4=C(O)N=CN=C4O2,,0.882
GNF-Pf-1962,OC1=CC=C(C=C1CNCCN2CCOCC2)C3=CC=NC4=CC(Cl)=CC=C34,,0.984
GNF-Pf-1963,FC(F)(F)C1=CC(NC(=O)N(CCC#N)CC2CCCO2)=CC=C1Cl,,1.017
GNF-Pf-1964,CCN1C(\C=CC2=CC=CC=C12)=C\C3=CC=CC=[N+]3C,,0.667
GNF-Pf-1965,COC1=CC=C(C=C1OC)C2(CCCC2)C(=O)NCC3=CC=CC=C3Cl,,12.01
GNF-Pf-1966,C=CCNC1=NC=NC2=C1C(=CN2C3=CC=CC=C3)C4=CC=CC=C4,,4.52
GNF-Pf-1967,CCN(CC)CCNC(=O)C1C(N(CC2=CC=C(F)C=C2)C(=O)C3=CC=CC=C13)C4=CC=C(OC)C=C4,,0.782
GNF-Pf-1968,COC1=CC=C(C=C1)C(=O)N(CCCC(C)NC2=CC(OC)=CC3=CC=CN=C23)CC4=CC=CC=C4OC,,0.713
GNF-Pf-1969,CC[N+]1=C(SC2=CC=CC=C12)\C=C\C=C3\N(C)C4=CC=CC=C4C3(C)C,,0.629
GNF-Pf-197,C(N(CC1=NC2=CC=CC=C2N1)CC3=NC4=CC=CC=C4N3)C5=NC6=CC=CC=C6N5,,0.1906
GNF-Pf-1970,CN(CC1=CC=CC=C1)C2=NC3=C(N2CCCSC4=NC=CC=N4)C(=O)NC(=O)N3C,,12.5
GNF-Pf-1971,CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C3=CC=C(Cl)C=C3\C2=C\C4=CC=C(Cl)C=C4,,0.777
GNF-Pf-1972,C1=CC=C(C=C1)C2=C(N(N3C(=NC(C4=CC=CC=C4)=C3C5=CC=CC=C5)C6=CC=C7C=CC=NC7=C6)C(=N2)C8=CC=C9C=CC=NC9=C8)C%10=CC=CC=C%10,,3.64
GNF-Pf-1973,CC(=O)C1=C(C)OC2=CC=C(NS(=O)(=O)C3=CC=CC(=C3)C(O)=O)C=C12,,1.25
GNF-Pf-1974,CON(C)C=C(C(=O)NC1=CC=C(C=C1)C(F)(F)F)C(=O)NC2=CC=C(C=C2)C(F)(F)F,,0.659
GNF-Pf-1975,CN(CC1=CC=CC=C1)C2=CC(=NC(=N2)C3=CC=CC=N3)C4=CC=CC=N4,,0.531
GNF-Pf-1976,CN(C)CCCNCC1=CC(=CC=C1O)C2=CC=CN=C2,,0.2409
GNF-Pf-1977,CC(C)C1NC(=O)C(NC(=O)C2=CC=C(C)C3=C2N=C4C(O3)=C(C)C(=O)C(N)=C4C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,,0.323
GNF-Pf-1978,CC(CCCO)NC1=CC=NC2=CC(Cl)=CC=C12,,0.561
GNF-Pf-1979,CC(C)NC1=CC=C(NC2=CC=NC3=CC4=CC=CC=C4C=C23)C=C1,,0.0318
GNF-Pf-198,CCCN1CCC(CC1)N2C[C@H](C[C@H]2C(=O)NCCC3=CC=C4OCOC4=C3)NCC5=CC=C(OCC6=CC=CC=C6)C=C5,,1.067
GNF-Pf-1980,CCCCCCCCC(=O)NCCCCNC1=CC=NC2=CC(Cl)=CC=C12,,1.145
GNF-Pf-1981,CC1=CC=C2NC3=C(NCCC4=CC=CC=C4F)N=CN=C3C2=C1,,0.835
GNF-Pf-1982,CCN(CC)CCCNC(=S)N(CCN(CC)CC)CC1=CC2=CC=C(C)C(C)=C2NC1=O,,3.28
GNF-Pf-1983,OC(CN1CCN(CC1)C2C3=CC=CC=C3C4=CC=CC=C24)CN5C6=CC=C(Br)C=C6C7=CC(Br)=CC=C57,,11.26
GNF-Pf-1984,FC(F)(F)C1=CC=CC(=C1)C2=CN(CC3=C(Cl)C=CC=C3Cl)C(=O)C(=C2)C#N,,7.43
GNF-Pf-1985,CCN1C(\C=CC2=CC(C)=CC=C12)=C\C3=[N+](CC)C4=CC(OC)=CC=C4S3,,0.431
GNF-Pf-1986,CCCN1CCC(CC1)N2C[C@H](C[C@H]2C(=O)NCC)NCC3=CC=C4N(CC)C5=CC=CC=C5C4=C3,,0.2519
GNF-Pf-1987,CC(C)(C)C1=CC(C=C(S1)C(C)(C)C)=C2C=C(SC(=C2)C(C)(C)C)C(C)(C)C,,0.805
GNF-Pf-1989,ClC1=CC=C(CN2C3=C(CCCC3)C(=N)C4=C2CCC4)C=C1Cl,,0.503
GNF-Pf-199,CCC1=CC=C(CSC2=NC3=CC(OC)=C(OC)C=C3C(=N)N2CCC4=CC=CC=C4)C=C1,,6.64
GNF-Pf-1990,CC1=CC=C(C=C1[N+]([O-])=O)C2=CN3C=CC=CC3=[N+]2CC(=O)C4=CC=C(Cl)C=C4,,0.369
GNF-Pf-1991,CN(C1CCCC1)C2CCN(CC2)C3=CC(C)=C4C=CC(O)=CC4=N3,,0.3124
GNF-Pf-1992,COC1=CC=C(NC2=C3CCCCC3=NC4=CC=C(NC(=O)C5=CC(=O)C6=CC=CC=C6O5)C=C24)C=C1OC,,0.3034
GNF-Pf-1993,C(CNC1=CC=NC2=CC3=CC=CC=C3C=C12)CC4=CC=CC=C4,,0.1992
GNF-Pf-1994,COC1=CC=C(CN2C[C@@H](C[C@H]2C(=O)NC3CC3)SC4=NC5=CC=CC=C5N4)C=C1C,,0.545
GNF-Pf-1995,CC1=CC=C(NC2=NC(NN=CC3=CC=C(O3)C4=CC=C(C=C4)[N+]([O-])=O)=NC(=N2)N5CCOCC5)C=C1Cl,,0.598
GNF-Pf-1996,CC(C)CC(N1[C@@H](CCC(=O)OCC2=CC=CC=C2)C(=O)NC3=CC=C(NC(C)=O)C=C3C1=O)C(=O)NCC(O)=O,,0.0482
GNF-Pf-1997,FC(F)(F)S(=O)(=O)NC1=CC=C(C=C1)C(=O)NCCC2=CC=C(C=C2)C3=CC=CC=C3,,1.25
GNF-Pf-1998,CCC(C(=O)N(C)CCCNC1=CC=NC2=CC(Cl)=CC=C12)C3=CC=CC=C3,,0.3109
GNF-Pf-1999,CCN1C(C=CC2=CC(C)=CC=C12)=CC3=[N+](CC)C4=CC(O)=CC=C4S3,,0.1876
GNF-Pf-2,COC1=CC=C(C=C1)\C=C2/SC(=S)N(CC(=O)NNC(=O)C3=CC=NC=C3)C2=O,,1.525
GNF-Pf-20,CC1=NN(C(=O)C1=NNC2=C(Br)C=C(Br)C=C2Br)C3=CC=CC=C3,,1.25
GNF-Pf-200,CN1C(SCC2CCCO2)=NN=C1C3CCN(CC3)C\C=C\C4=CC=CC=C4,,1.278
GNF-Pf-2000,CC1=NC(CC(=O)N2CCCC(CNC(=O)C3(CC3)C4=CC=C(Cl)C=C4)C2)=CS1,,12.5
GNF-Pf-2001,COC1=CC(NC(C)CCCN(CC2=CC=C(C=C2)N(C)C)C(=O)C3=CC=C(F)C=C3)=C4N=CC=CC4=C1,,0.63
GNF-Pf-2002,CCOC(=O)C1=CC=C(NC(=O)C2=NN3C=CC=CC3=C2)C=C1,,1.25
GNF-Pf-2003,CCCCCCCCC(=O)N1CCN(CC1)C(CC)C2=NC3=CC=CC=C3C(=O)N2C,,0.492
GNF-Pf-2005,CN1CCN(CC1)C2=CC(C)=C3C=C(NC(=O)C4=CC=C(Br)O4)C=CC3=N2,,1.68
GNF-Pf-2006,OC(CNC1CCN(CC1)CC2=CC=CC=C2)COC3=CC=C(Br)C=C3,,0.745
GNF-Pf-2007,CC(=O)N1CCNC1=NC2=C(Cl)N=C(C)N=C2Cl,,0.444
GNF-Pf-2008,CC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(SC3=NC4=CC=CC=C4N3)C(=O)C5=CC=CC=C25,,0.632
GNF-Pf-2009,CCN1C=C(S\C1=C/C2=[N+](C)C3=CC=CC=C3S2)C4=CC=C(C)C=C4,,0.362
GNF-Pf-2010,COC1=CC=C(C=C1OC)C2=CC=C3C(N)=C(SC3=N2)C(=O)NCCC4=CC=CC=C4,,10.8
GNF-Pf-2011,CCN(CC1=CC=CC=C1)CC2=C(O)C=CC3=C2C(=C(C)O3)C(=O)NC4=CC=C(C)C=C4C,,3.49
GNF-Pf-2012,CC(C)(C)CC(C)(C)NC1=C(N=C2C=CC=CN12)C3=CC=CC=C3OC(=O)C4=CC=CO4,,12.5
GNF-Pf-2013,CCC(SC1=NC(C)=CC(=N1)C2=CC=CC=C2)C(=O)NC3=CC=CC4=CC=CC=C34,,1.25
GNF-Pf-2014,CC1=NN(C(=O)NS(=O)(=O)C2=CC=CC=C2Cl)C(C)=C1C,,0.81
GNF-Pf-2015,OC1=CC=CC(=C1)C2=NC(=C(N2)C3=CC=C4OC5=CC=C(C=C5C4=C3)C6=C(N=C(N6)C7=CC=CC(O)=C7)C8=CC=CC=C8)C9=CC=CC=C9,,2.353
GNF-Pf-2016,COC1=CC=C(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@@H](O[C@@H]2CO)N3C=NC4=C(N=CN=C34)N(C)C)C=C1,,0.611
GNF-Pf-2017,CCCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3,,0.1316
